x,y
13280,279320.7370086797
13040,283597.3457706969
12840,286160.304901403
12600,292256.91022233234
12440,294203.9987303002
12320,296459.5759416742
12080,304112.7067003465
11880,308444.93530329125
11640,318991.78955316846
11480,321932.4591101462
11360,326093.80503518094
12920,285385.2040229901
12760,286846.9002373637
12600,292256.91022233234
12360,296052.0512533673
12200,302287.08436142333
11960,307917.117018764
11800,309948.7422750681
11640,318991.78955316846
11400,325824.5511434556
11240,336162.4436564138
11000,346386.2013499095
12600,291618.9002711385
12480,294169.34816833254
12280,296174.5450416759
11960,306727.84239265736
11880,308014.5129951498
11560,318664.88987414783
11440,323098.7075872988
11240,326362.57564861374
10920,344472.18282527546
10840,346747.23385021527
10520,365035.20859893935
12440,294245.1083819914
12160,301056.3370505436
11920,306898.22512508114
11800,309962.1155580177
11480,321559.5823405336
11400,323447.85676010785
11120,335294.44298028713
10880,345085.8640389807
10760,350704.1623437728
10440,370350.99779419723
10360,373654.8509302628
12080,304821.4290435712
11840,309141.65452297876
11720,314723.0516930857
11360,324457.24471203476
11240,328182.57385770837
10960,341723.1970494571
10720,349711.8482145958
10600,359056.6883988523
10240,375961.708139026
10120,382649.3500378794
9880,405849.7375189119
11760,309273.9638799386
11520,320676.567690122
11280,326686.56681960303
11160,328442.01914423803
10840,346457.4759904244
10640,350241.8384380938
10400,369783.47236681473
10160,380001.8848124931
10040,383591.8095670433
9720,414583.5448769607
9520,422235.161030087
11440,323069.6140289808
11200,328974.6289425441
11000,339556.44899841567
10760,347634.741700492
10560,353949.00382713735
10320,374267.4163445625
10080,384492.5779974223
9880,403045.3890869583
9640,417374.34738443873
9440,429031.1211224391
9200,466121.8681531018
11120,329532.9193533297
10880,345077.55381803494
10560,353632.63380911684
10360,369334.66697633476
10120,379563.4193103987
9920,385984.281448944
9680,412822.6842127335
9360,428830.579425343
9160,456210.2770786274
8920,476024.8826961143
8720,489306.07687683275
10680,349277.4840363559
10520,353877.79485231364
10240,372760.32199105335
10080,380039.2479678087
9760,403744.46742264397
9480,421015.61160935496
9320,429600.76721191435
9040,463344.7479279614
8880,477146.05680797587
8560,521393.01539471926
8280,557504.3779168417
10360,367582.15466036345
10160,376534.27151914383
9960,384106.6644218457
9600,413938.46512218483
9440,421036.7591532542
9080,453736.26326048013
8880,470201.53980741196
8680,484516.9488745411
8320,540802.3199562439
8160,557677.6133989274
7840,624447.1431919893
9960,383934.9680725937
9840,395748.5963118809
9480,416145.3957273311
9280,426693.41939327755
8960,460191.7080829539
8680,484258.8992436409
8560,506523.68424310535
8200,545152.4014306224
8000,568005.360883381
7680,636628.0778452875
7400,691981.2044687689
